line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Tabriz"" title=""Tabriz"">Tabriz</a></th>",Tabriz,/wiki/Tabriz,38.067,46.3,Iran
"<th scope=""row""><a href=""/wiki/Palembang"" title=""Palembang"">Palembang</a></th>",Palembang,/wiki/Palembang,-2.98611,104.75556,NA
"<th scope=""row""><a href=""/wiki/Almaty"" title=""Almaty"">Almaty</a></th>",Almaty,/wiki/Almaty,43.2775,76.89583,Kazakhstan
"<th scope=""row""><a href=""/wiki/Tijuana"" title=""Tijuana"">Tijuana</a></th>",Tijuana,/wiki/Tijuana,32.525,-117.03333,NA
"<th scope=""row""><a href=""/wiki/Patna"" title=""Patna"">Patna</a></th>",Patna,/wiki/Patna,25.6,85.1,India
"<th scope=""row""><a href=""/wiki/Montreal"" title=""Montreal"">Montreal</a></th>",Montreal,/wiki/Montreal,45.5,-73.567,Canada
"<th scope=""row""><a href=""/wiki/Davao_City"" title=""Davao City"">Davao City</a></th>",Davao City,/wiki/Davao_City,7.07,125.6,Philippines
"<th scope=""row""><a href=""/wiki/Harare"" title=""Harare"">Harare</a></th>",Harare,/wiki/Harare,-17.86389,31.02972,Zimbabwe
"<th scope=""row""><a href=""/wiki/Barcelona"" title=""Barcelona"">Barcelona</a></th>",Barcelona,/wiki/Barcelona,41.383,2.183, Spain
"<th scope=""row""><a href=""/wiki/Maracaibo"" title=""Maracaibo"">Maracaibo</a></th>",Maracaibo,/wiki/Maracaibo,10.65,-71.633,Venezuela
"<th scope=""row""><a href=""/wiki/Caloocan"" title=""Caloocan"">Caloocan</a></th>",Caloocan,/wiki/Caloocan,14.65,120.97,Philippines
"<th scope=""row""><a href=""/wiki/Philadelphia"" title=""Philadelphia"">Philadelphia</a></th>",Philadelphia,/wiki/Philadelphia,39.95,-75.167,NA
"<th scope=""row""><a href=""/wiki/Novosibirsk"" title=""Novosibirsk"">Novosibirsk</a></th>",Novosibirsk,/wiki/Novosibirsk,NA,NA,Russia
"<th scope=""row""><a href=""/wiki/Phoenix,_Arizona"" title=""Phoenix, Arizona"">Phoenix</a></th>",Phoenix,"/wiki/Phoenix,_Arizona",33.45,-112.067,United States
"<th scope=""row""><a href=""/wiki/Bulawayo"" title=""Bulawayo"">Bulawayo</a></th>",Bulawayo,/wiki/Bulawayo,-20.17,28.58,Zimbabwe
"<th scope=""row""><a href=""/wiki/Oran"" title=""Oran"">Oran</a></th>",Oran,/wiki/Oran,35.69694,-0.63306,Algeria
"<th scope=""row""><a href=""/wiki/Semarang"" title=""Semarang"">Semarang</a></th>",Semarang,/wiki/Semarang,-6.967,110.417,NA
"<th scope=""row""><a href=""/wiki/Recife"" title=""Recife"">Recife</a></th>",Recife,/wiki/Recife,-8.05,-34.9,Brazil
"<th scope=""row""><a href=""/wiki/Kobe"" title=""Kobe"">Kobe</a></th>",Kobe,/wiki/Kobe,34.69,135.19556,NA
"<th scope=""row""><a href=""/wiki/Daejeon"" title=""Daejeon"">Daejeon</a></th>",Daejeon,/wiki/Daejeon,NA,NA,South Korea
"<th scope=""row""><a href=""/wiki/Kampala"" title=""Kampala"">Kampala</a></th>",Kampala,/wiki/Kampala,0.31361,32.58111,Uganda
"<th scope=""row""><a href=""/wiki/Kawasaki,_Kanagawa"" title=""Kawasaki, Kanagawa"">Kawasaki</a></th>",Kawasaki,"/wiki/Kawasaki,_Kanagawa",35.517,139.7,NA
"<th scope=""row""><a href=""/wiki/Guadalajara"" title=""Guadalajara"">Guadalajara</a></th>",Guadalajara,/wiki/Guadalajara,20.667,-103.35,Mexico
"<th scope=""row""><a href=""/wiki/Auckland"" title=""Auckland"">Auckland</a></th>",Auckland,/wiki/Auckland,-36.84056,174.74,New Zealand
"<th scope=""row""><a href=""/wiki/Vijayawada"" title=""Vijayawada"">Vijayawada</a></th>",Vijayawada,/wiki/Vijayawada,16.5193,80.6305,India
"<th scope=""row""><a href=""/wiki/Fukuoka"" title=""Fukuoka"">Fukuoka</a></th>",Fukuoka,/wiki/Fukuoka,33.583,130.4,Japan
"<th scope=""row""><a href=""/wiki/Kwangju"" class=""mw-redirect"" title=""Kwangju"">Kwangju</a></th>",Kwangju,/wiki/Kwangju,NA,NA,South Korea
"<th scope=""row""><a href=""/wiki/Porto_Alegre"" title=""Porto Alegre"">Porto Alegre</a></th>",Porto Alegre,/wiki/Porto_Alegre,-30.03306,-51.23,Brazil
"<th scope=""row""><a href=""/wiki/Kyoto"" title=""Kyoto"">Kyoto</a></th>",Kyoto,/wiki/Kyoto,35.01167,135.76833,NA
"<th scope=""row""><a href=""/wiki/San_Antonio"" title=""San Antonio"">San Antonio</a></th>",San Antonio,/wiki/San_Antonio,29.417,-98.5,NA
